Rank,Feature,Importance,Importance_Std,Absolute_Importance,Relative_Importance,Influence
1,V14,0.09664241564362634,0.03813236445299539,0.09664241564362634,100.0,Positive Detection Contribution
2,Time,0.035770851789780435,0.009584645293541688,0.035770851789780435,37.013615141499784,Positive Detection Contribution
3,V28,0.033965812569413424,0.019181090762496918,0.033965812569413424,35.145864621869585,Positive Detection Contribution
4,V25,0.027438579370591888,0.0001613130613552234,0.027438579370591888,28.39186002114537,Positive Detection Contribution
5,V22,0.026659896900378753,0.0004000023312437239,0.026659896900378753,27.586124294210972,Positive Detection Contribution
6,V1,0.02490978059646918,0.021209223878499404,0.02490978059646918,25.775204842069783,Positive Detection Contribution
7,V8,0.022688909552902748,0.01112031265752159,0.022688909552902748,23.477175525671065,Positive Detection Contribution
8,Amount,0.022188247168574527,0.011111231865182291,0.022188247168574527,22.959118954967746,Positive Detection Contribution
9,V19,0.021330925569111158,0.01096006789713632,0.021330925569111158,22.072011990852953,Positive Detection Contribution
10,V27,0.017008016936143865,0.013630264437799716,0.017008016936143865,17.59891536534203,Positive Detection Contribution
11,V24,0.016854843939458776,0.013550869292147565,0.016854843939458776,17.44042077922787,Positive Detection Contribution
12,V17,0.016767428407167672,0.01354650306920261,0.016767428407167672,17.349968226165196,Positive Detection Contribution
13,V26,0.011348066195650607,0.01359258053554428,0.011348066195650607,11.742324651214389,Positive Detection Contribution
14,V4,0.006183486090441659,0.010890494633355141,0.006183486090441659,6.398314910963698,Positive Detection Contribution
15,V7,0.005855512939085617,0.011134926251677323,0.005855512939085617,6.058947202518311,Positive Detection Contribution
16,V3,0.0057601349497599765,0.011321918658015531,0.0057601349497599765,5.960255557974417,Positive Detection Contribution
17,V13,0.005756794840438206,0.011223444928991856,0.005756794840438206,5.956799405414978,Positive Detection Contribution
18,V6,0.005566836714008793,0.011040577764208569,0.005566836714008793,5.760241687807946,Positive Detection Contribution
19,V5,0.005413836346523171,0.010985045869297369,0.005413836346523171,5.601925728436838,Positive Detection Contribution
20,V20,0.00533297924093099,0.011209822189721866,0.00533297924093099,5.518259457210396,Positive Detection Contribution
21,V10,-0.00032474953685781573,0.000205288419335829,0.00032474953685781573,0.3360320980130977,Negative Detection Contribution
22,V16,-0.00031723187676742094,0.00016854509444548855,0.00031723187676742094,0.32825325676587913,Negative Detection Contribution
23,V9,-0.00022788567424427696,0.00016241464855063168,0.00022788567424427696,0.23580295745567514,Negative Detection Contribution
24,V12,0.00018665395020700526,0.00012699990065837826,0.00018665395020700526,0.19313874654716917,Positive Detection Contribution
25,V18,0.00018344055055827813,0.0005568964498095065,0.00018344055055827813,0.18981370585222557,Positive Detection Contribution
26,V15,0.00017457120843613616,0.00032479061360114725,0.00017457120843613616,0.18063622196683915,Positive Detection Contribution
27,V11,-0.00014210146060105177,0.00012967362906545954,0.00014210146060105177,0.14703839887969883,Negative Detection Contribution
28,V2,0.0001358246661204987,6.676312952442062e-05,0.0001358246661204987,0.1405435338261399,Positive Detection Contribution
29,V23,-0.00012741032271206264,0.0003378268074077147,0.00012741032271206264,0.13183685637773632,Negative Detection Contribution
30,V21,1.2281446808870555e-05,2.665407191552689e-05,1.2281446808870555e-05,0.012708133097747673,Positive Detection Contribution
